0 с,   73.00 м
7047 с,   252718.80 м
7048 с,   252731.97 м
7049 с,   252745.11 м
7050 с,   252758.23 м
7051 с,   252771.32 м
7052 с,   252784.38 м
7053 с,   252797.41 м
7054 с,   252810.42 м
7055 с,   252823.39 м
7056 с,   252836.34 м
7057 с,   252849.27 м
7058 с,   252862.16 м
7059 с,   252875.03 м
7060 с,   252887.86 м
7061 с,   252900.67 м
7062 с,   252913.45 м
7063 с,   252926.20 м
7064 с,   252938.93 м
7065 с,   252951.62 м
7066 с,   252964.28 м
7067 с,   252976.92 м
7068 с,   252989.52 м
7069 с,   253002.10 м
7070 с,   253014.65 м
7071 с,   253027.16 м
7072 с,   253039.65 м
7073 с,   253052.11 м
7074 с,   253064.54 м
7075 с,   253076.93 м
7076 с,   253089.30 м
7077 с,   253101.63 м
7078 с,   253113.94 м
7079 с,   253126.21 м
7080 с,   253138.46 м
7081 с,   253150.67 м
7082 с,   253162.85 м
7083 с,   253175.00 м
7084 с,   253187.12 м
7085 с,   253199.21 м
7086 с,   253211.26 м
7087 с,   253223.29 м
7088 с,   253235.28 м
7089 с,   253247.24 м
7090 с,   253259.17 м
7091 с,   253271.06 м
7092 с,   253282.93 м
7093 с,   253294.76 м
7094 с,   253306.56 м
7095 с,   253318.33 м
7096 с,   253330.06 м
7097 с,   253341.76 м
7098 с,   253353.43 м
7099 с,   253365.06 м
7100 с,   253376.66 м
7101 с,   253388.23 м
7102 с,   253399.77 м
7103 с,   253411.27 м
7104 с,   253422.74 м
7105 с,   253434.17 м
7106 с,   253445.57 м
7107 с,   253456.93 м
7108 с,   253468.27 м
7109 с,   253479.56 м
7110 с,   253490.83 м
7111 с,   253502.06 м
7112 с,   253513.25 м
7113 с,   253524.41 м
7114 с,   253535.53 м
7115 с,   253546.62 м
7116 с,   253557.68 м
7117 с,   253568.70 м
7118 с,   253579.68 м
7119 с,   253590.63 м
7120 с,   253601.55 м
7121 с,   253612.42 м
7122 с,   253623.27 м
7123 с,   253634.07 м
7124 с,   253644.84 м
7125 с,   253655.58 м
7126 с,   253666.28 м
7127 с,   253676.94 м
7128 с,   253687.57 м
7129 с,   253698.16 м
7130 с,   253708.71 м
7131 с,   253719.23 м
7132 с,   253729.71 м
7133 с,   253740.15 м
7134 с,   253750.56 м
7135 с,   253760.92 м
7136 с,   253771.26 м
7137 с,   253781.55 м
7138 с,   253791.81 м
7139 с,   253802.03 м
7140 с,   253812.21 м
7141 с,   253822.36 м
7142 с,   253832.47 м
7143 с,   253842.53 м
7144 с,   253852.57 м
7145 с,   253862.56 м
7146 с,   253872.52 м
7147 с,   253882.43 м
7148 с,   253892.31 м
7149 с,   253902.15 м
7150 с,   253911.95 м
7151 с,   253921.72 м
7152 с,   253931.44 м
7153 с,   253941.13 м
7154 с,   253950.78 м
7155 с,   253960.38 м
7156 с,   253969.95 м
7157 с,   253979.48 м
7158 с,   253988.97 м
7159 с,   253998.42 м
7160 с,   254007.83 м
7161 с,   254017.21 м
7162 с,   254026.54 м
7163 с,   254035.83 м
7164 с,   254045.08 м
7165 с,   254054.30 м
7166 с,   254063.47 м
7167 с,   254072.60 м
7168 с,   254081.70 м
7169 с,   254090.75 м
7170 с,   254099.76 м
7171 с,   254108.73 м
7172 с,   254117.66 м
7173 с,   254126.55 м
7174 с,   254135.40 м
7175 с,   254144.21 м
7176 с,   254152.98 м
7177 с,   254161.71 м
7178 с,   254170.39 м
7179 с,   254179.04 м
7180 с,   254187.64 м
7181 с,   254196.20 м
7182 с,   254204.72 м
7183 с,   254213.20 м
7184 с,   254221.64 м
7185 с,   254230.04 м
7186 с,   254238.39 м
7187 с,   254246.70 м
7188 с,   254254.97 м
7189 с,   254263.20 м
7190 с,   254271.39 м
7191 с,   254279.53 м
7192 с,   254287.63 м
7193 с,   254295.69 м
7194 с,   254303.71 м
7195 с,   254311.68 м
7196 с,   254319.62 м
7197 с,   254327.51 м
7198 с,   254335.35 м
7199 с,   254343.16 м
7200 с,   254350.92 м
7201 с,   254358.64 м
7202 с,   254366.31 м
7203 с,   254373.94 м
7204 с,   254381.53 м
7205 с,   254389.08 м
7206 с,   254396.58 м
7207 с,   254404.04 м
7208 с,   254411.46 м
7209 с,   254418.83 м
7210 с,   254426.16 м
7211 с,   254433.44 м
7212 с,   254440.68 м
7213 с,   254447.88 м
7214 с,   254455.03 м
7215 с,   254462.14 м
7216 с,   254469.21 м
7217 с,   254476.23 м
7218 с,   254483.21 м
7219 с,   254490.14 м
7220 с,   254497.03 м
7221 с,   254503.87 м
7222 с,   254510.67 м
7223 с,   254517.42 м
7224 с,   254524.14 м
7225 с,   254530.80 м
7226 с,   254537.42 м
7227 с,   254544.00 м
7228 с,   254550.53 м
7229 с,   254557.02 м
7230 с,   254563.46 м
7231 с,   254569.85 м
7232 с,   254576.21 м
7233 с,   254582.51 м
7234 с,   254588.77 м
7235 с,   254594.99 м
7236 с,   254601.16 м
7237 с,   254607.28 м
7238 с,   254613.36 м
7239 с,   254619.40 м
7240 с,   254625.39 м
7241 с,   254631.33 м
7242 с,   254637.23 м
7243 с,   254643.08 м
7244 с,   254648.88 м
7245 с,   254654.64 м
7246 с,   254660.36 м
7247 с,   254666.02 м
7248 с,   254671.64 м
7249 с,   254677.22 м
7250 с,   254682.75 м
7251 с,   254688.23 м
7252 с,   254693.67 м
7253 с,   254699.06 м
7254 с,   254704.40 м
7255 с,   254709.70 м
7256 с,   254714.95 м
7257 с,   254720.16 м
7258 с,   254725.32 м
7259 с,   254730.43 м
7260 с,   254735.49 м
7261 с,   254740.51 м
7262 с,   254745.48 м
7263 с,   254750.41 м
7264 с,   254755.28 м
7265 с,   254760.11 м
7266 с,   254764.90 м
7267 с,   254769.63 м
7268 с,   254774.32 м
7269 с,   254778.97 м
7270 с,   254783.56 м
7271 с,   254788.11 м
7272 с,   254792.61 м
7273 с,   254797.06 м
7274 с,   254801.47 м
7275 с,   254805.83 м
7276 с,   254810.14 м
7277 с,   254814.40 м
7278 с,   254818.62 м
7279 с,   254822.79 м
7280 с,   254826.91 м
7281 с,   254830.98 м
7282 с,   254835.01 м
7283 с,   254838.99 м
7284 с,   254842.92 м
7285 с,   254846.80 м
7286 с,   254850.63 м
7287 с,   254854.42 м
7288 с,   254858.16 м
7289 с,   254861.85 м
7290 с,   254865.49 м
7291 с,   254869.09 м
7292 с,   254872.63 м
7293 с,   254876.13 м
7294 с,   254879.58 м
7295 с,   254882.99 м
7296 с,   254886.34 м
7297 с,   254889.65 м
7298 с,   254892.90 м
7299 с,   254896.11 м
7300 с,   254899.28 м
7301 с,   254902.39 м
7302 с,   254905.45 м
7303 с,   254908.47 м
7304 с,   254911.44 м
7305 с,   254914.36 м
7306 с,   254917.23 м
7307 с,   254920.05 м
7308 с,   254922.82 м
7309 с,   254925.55 м
7310 с,   254928.22 м
7311 с,   254930.85 м
7312 с,   254933.43 м
7313 с,   254935.96 м
7314 с,   254938.44 м
7315 с,   254940.87 м
7316 с,   254943.26 м
7317 с,   254945.59 м
7318 с,   254947.88 м
7319 с,   254950.12 м
7320 с,   254952.31 м
7321 с,   254954.45 м
7322 с,   254956.54 м
7323 с,   254958.58 м
7324 с,   254960.57 м
7325 с,   254962.52 м
7326 с,   254964.41 м
7327 с,   254966.26 м
7328 с,   254968.06 м
7329 с,   254969.80 м
7330 с,   254971.50 м
7331 с,   254973.15 м
7332 с,   254974.76 м
7333 с,   254976.31 м
7334 с,   254977.81 м
7335 с,   254979.26 м
7336 с,   254980.67 м
7337 с,   254982.02 м
7338 с,   254983.33 м
7339 с,   254984.59 м
7340 с,   254985.79 м
7341 с,   254986.95 м
7342 с,   254988.06 м
7343 с,   254989.12 м
7344 с,   254990.13 м
7345 с,   254991.10 м
7346 с,   254992.01 м
7347 с,   254992.87 м
7348 с,   254993.68 м
7349 с,   254994.45 м
7350 с,   254995.16 м
7351 с,   254995.83 м
7352 с,   254996.45 м
7353 с,   254997.01 м
7354 с,   254997.53 м
7355 с,   254998.00 м
7356 с,   254998.42 м
7357 с,   254998.79 м
7358 с,   254999.11 м
7359 с,   254999.38 м
7360 с,   254999.61 м
7361 с,   254999.78 м
7362 с,   254999.90 м
7363 с,   254999.98 м
7364 с,   255000.00 м
7365 с,   254999.98 м
7366 с,   254999.90 м
7367 с,   254999.78 м
7368 с,   254999.61 м
7369 с,   254999.38 м
7370 с,   254999.11 м
7371 с,   254998.79 м
7372 с,   254998.42 м
7373 с,   254998.00 м
7374 с,   254997.53 м
7375 с,   254997.01 м
7376 с,   254996.45 м
7377 с,   254995.83 м
7378 с,   254995.16 м
7379 с,   254994.45 м
7380 с,   254993.68 м
7381 с,   254992.87 м
7382 с,   254992.01 м
7383 с,   254991.10 м
7384 с,   254990.13 м
7385 с,   254989.12 м
7386 с,   254988.06 м
7387 с,   254986.95 м
7388 с,   254985.79 м
7389 с,   254984.59 м
7390 с,   254983.33 м
7391 с,   254982.02 м
7392 с,   254980.67 м
7393 с,   254979.26 м
7394 с,   254977.81 м
7395 с,   254976.31 м
7396 с,   254974.76 м
7397 с,   254973.15 м
7398 с,   254971.50 м
7399 с,   254969.80 м
7400 с,   254968.06 м
7401 с,   254966.26 м
7402 с,   254964.41 м
7403 с,   254962.52 м
7404 с,   254960.57 м
7405 с,   254958.58 м
7406 с,   254956.54 м
7407 с,   254954.45 м
7408 с,   254952.31 м
7409 с,   254950.12 м
7410 с,   254947.88 м
7411 с,   254945.59 м
7412 с,   254943.26 м
7413 с,   254940.87 м
7414 с,   254938.44 м
7415 с,   254935.96 м
7416 с,   254933.43 м
7417 с,   254930.85 м
7418 с,   254928.22 м
7419 с,   254925.55 м
7420 с,   254922.82 м
7421 с,   254920.05 м
7422 с,   254917.23 м
7423 с,   254914.36 м
7424 с,   254911.44 м
7425 с,   254908.47 м
7426 с,   254905.45 м
7427 с,   254902.39 м
7428 с,   254899.28 м
7429 с,   254896.11 м
7430 с,   254892.90 м
7431 с,   254889.65 м
7432 с,   254886.34 м
7433 с,   254882.99 м
7434 с,   254879.58 м
7435 с,   254876.13 м
7436 с,   254872.63 м
7437 с,   254869.09 м
7438 с,   254865.49 м
7439 с,   254861.85 м
7440 с,   254858.16 м
7441 с,   254854.42 м
7442 с,   254850.63 м
7443 с,   254846.80 м
7444 с,   254842.92 м
7445 с,   254838.99 м
7446 с,   254835.01 м
7447 с,   254830.98 м
7448 с,   254826.91 м
7449 с,   254822.79 м
7450 с,   254818.62 м
7451 с,   254814.40 м
7452 с,   254810.14 м
7453 с,   254805.83 м
7454 с,   254801.47 м
7455 с,   254797.06 м
7456 с,   254792.61 м
7457 с,   254788.11 м
7458 с,   254783.56 м
7459 с,   254778.97 м
7460 с,   254774.32 м
7461 с,   254769.63 м
7462 с,   254764.90 м
7463 с,   254760.11 м
7464 с,   254755.28 м
7465 с,   254750.41 м
7466 с,   254745.48 м
7467 с,   254740.51 м
7468 с,   254735.49 м
7469 с,   254730.43 м
7470 с,   254725.32 м
7471 с,   254720.16 м
7472 с,   254714.95 м
7473 с,   254709.70 м
7474 с,   254704.40 м
7475 с,   254699.06 м
7476 с,   254693.67 м
7477 с,   254688.23 м
7478 с,   254682.75 м
7479 с,   254677.22 м
7480 с,   254671.64 м
7481 с,   254666.02 м
7482 с,   254660.36 м
7483 с,   254654.64 м
7484 с,   254648.88 м
7485 с,   254643.08 м
7486 с,   254637.23 м
7487 с,   254631.33 м
7488 с,   254625.39 м
7489 с,   254619.40 м
7490 с,   254613.36 м
7491 с,   254607.28 м
7492 с,   254601.16 м
7493 с,   254594.99 м
7494 с,   254588.77 м
7495 с,   254582.51 м
7496 с,   254576.21 м
7497 с,   254569.85 м
7498 с,   254563.46 м
7499 с,   254557.02 м
7500 с,   254550.53 м
7501 с,   254544.00 м
7502 с,   254537.42 м
7503 с,   254530.80 м
7504 с,   254524.14 м
7505 с,   254517.42 м
7506 с,   254510.67 м
7507 с,   254503.87 м
7508 с,   254497.03 м
7509 с,   254490.14 м
7510 с,   254483.21 м
7511 с,   254476.23 м
7512 с,   254469.21 м
7513 с,   254462.14 м
7514 с,   254455.03 м
7515 с,   254447.88 м
7516 с,   254440.68 м
7517 с,   254433.44 м
7518 с,   254426.16 м
7519 с,   254418.83 м
7520 с,   254411.46 м
7521 с,   254404.04 м
7522 с,   254396.58 м
7523 с,   254389.08 м
7524 с,   254381.53 м
7525 с,   254373.94 м
7526 с,   254366.31 м
7527 с,   254358.64 м
7528 с,   254350.92 м
7529 с,   254343.16 м
7530 с,   254335.35 м
7531 с,   254327.51 м
7532 с,   254319.62 м
7533 с,   254311.68 м
7534 с,   254303.71 м
7535 с,   254295.69 м
7536 с,   254287.63 м
7537 с,   254279.53 м
7538 с,   254271.39 м
7539 с,   254263.20 м
7540 с,   254254.97 м
7541 с,   254246.70 м
7542 с,   254238.39 м
7543 с,   254230.04 м
7544 с,   254221.64 м
7545 с,   254213.20 м
7546 с,   254204.72 м
7547 с,   254196.20 м
7548 с,   254187.64 м
7549 с,   254179.04 м
7550 с,   254170.39 м
7551 с,   254161.71 м
7552 с,   254152.98 м
7553 с,   254144.21 м
7554 с,   254135.40 м
7555 с,   254126.55 м
7556 с,   254117.66 м
7557 с,   254108.73 м
7558 с,   254099.76 м
7559 с,   254090.75 м
7560 с,   254081.70 м
7561 с,   254072.60 м
7562 с,   254063.47 м
7563 с,   254054.30 м
7564 с,   254045.08 м
7565 с,   254035.83 м
7566 с,   254026.54 м
7567 с,   254017.21 м
7568 с,   254007.83 м
7569 с,   253998.42 м
7570 с,   253988.97 м
7571 с,   253979.48 м
7572 с,   253969.95 м
7573 с,   253960.38 м
7574 с,   253950.78 м
7575 с,   253941.13 м
7576 с,   253931.44 м
7577 с,   253921.72 м
7578 с,   253911.95 м
7579 с,   253902.15 м
7580 с,   253892.31 м
7581 с,   253882.43 м
7582 с,   253872.52 м
7583 с,   253862.56 м
7584 с,   253852.57 м
7585 с,   253842.53 м
7586 с,   253832.47 м
7587 с,   253822.36 м
7588 с,   253812.21 м
7589 с,   253802.03 м
7590 с,   253791.81 м
7591 с,   253781.55 м
7592 с,   253771.26 м
7593 с,   253760.92 м
7594 с,   253750.56 м
7595 с,   253740.15 м
7596 с,   253729.71 м
7597 с,   253719.23 м
7598 с,   253708.71 м
7599 с,   253698.16 м
7600 с,   253687.57 м
7601 с,   253676.94 м
7602 с,   253666.28 м
7603 с,   253655.58 м
7604 с,   253644.84 м
7605 с,   253634.07 м
7606 с,   253623.27 м
7607 с,   253612.42 м
7608 с,   253601.55 м
7609 с,   253590.63 м
7610 с,   253579.68 м
7611 с,   253568.70 м
7612 с,   253557.68 м
7613 с,   253546.62 м
7614 с,   253535.53 м
7615 с,   253524.41 м
7616 с,   253513.25 м
7617 с,   253502.06 м
7618 с,   253490.83 м
7619 с,   253479.56 м
7620 с,   253468.27 м
7621 с,   253456.93 м
7622 с,   253445.57 м
7623 с,   253434.17 м
7624 с,   253422.74 м
7625 с,   253411.27 м
7626 с,   253399.77 м
7627 с,   253388.23 м
7628 с,   253376.66 м
7629 с,   253365.06 м
7630 с,   253353.43 м
7631 с,   253341.76 м
7632 с,   253330.06 м
7633 с,   253318.33 м
7634 с,   253306.56 м
7635 с,   253294.76 м
7636 с,   253282.93 м
7637 с,   253271.06 м
7638 с,   253259.17 м
7639 с,   253247.24 м
7640 с,   253235.28 м
7641 с,   253223.29 м
7642 с,   253211.26 м
7643 с,   253199.21 м
7644 с,   253187.12 м
7645 с,   253175.00 м
7646 с,   253162.85 м
7647 с,   253150.67 м
7648 с,   253138.46 м
7649 с,   253126.21 м
7650 с,   253113.94 м
7651 с,   253101.63 м
7652 с,   253089.30 м
7653 с,   253076.93 м
7654 с,   253064.54 м
7655 с,   253052.11 м
7656 с,   253039.65 м
7657 с,   253027.16 м
7658 с,   253014.65 м
7659 с,   253002.10 м
7660 с,   252989.52 м
7661 с,   252976.92 м
7662 с,   252964.28 м
7663 с,   252951.62 м
7664 с,   252938.93 м
7665 с,   252926.20 м
7666 с,   252913.45 м
7667 с,   252900.67 м
7668 с,   252887.86 м
7669 с,   252875.03 м
7670 с,   252862.16 м
7671 с,   252849.27 м
7672 с,   252836.34 м
7673 с,   252823.39 м
7674 с,   252810.42 м
7675 с,   252797.41 м
7676 с,   252784.38 м
7677 с,   252771.32 м
7678 с,   252758.23 м
7679 с,   252745.11 м
7680 с,   252731.97 м
7681 с,   252718.80 м
7682 с,   252705.61 м
7683 с,   252692.38 м
7684 с,   252679.13 м
7685 с,   252665.86 м
7686 с,   252652.56 м
7687 с,   252639.23 м
7688 с,   252625.87 м
7689 с,   252612.49 м
7690 с,   252599.09 м
7691 с,   252585.65 м
7692 с,   252572.20 м
7693 с,   252558.72 м
7694 с,   252545.21 м
7695 с,   252531.67 м
7696 с,   252518.12 м
7697 с,   252504.53 м
7698 с,   252490.93 м
7699 с,   252477.29 м
7700 с,   252463.64 м
7701 с,   252449.96 м
7702 с,   252436.25 м
7703 с,   252422.52 м
7704 с,   252408.77 м
7705 с,   252394.99 м
7706 с,   252381.19 м
7707 с,   252367.37 м
7708 с,   252353.52 м
7709 с,   252339.65 м
7710 с,   252325.76 м
7711 с,   252311.84 м
7712 с,   252297.90 м
7713 с,   252283.94 м
7714 с,   252269.95 м
7715 с,   252255.95 м
7716 с,   252241.92 м
7717 с,   252227.86 м
7718 с,   252213.79 м
7719 с,   252199.70 м
7720 с,   252185.58 м
7721 с,   252171.44 м
7722 с,   252157.28 м
7723 с,   252143.10 м
7724 с,   252128.90 м
7725 с,   252114.67 м
7726 с,   252100.43 м
7727 с,   252086.16 м
7728 с,   252071.88 м
7729 с,   252057.57 м
7730 с,   252043.25 м
7731 с,   252028.90 м
7732 с,   252014.53 м
7733 с,   252000.15 м
7734 с,   251985.74 м
7735 с,   251971.31 м
7736 с,   251956.87 м
7737 с,   251942.40 м
7738 с,   251927.92 м
7739 с,   251913.42 м
7740 с,   251898.90 м
7741 с,   251884.36 м
7742 с,   251869.80 м
7743 с,   251855.22 м
7744 с,   251840.62 м
7745 с,   251826.01 м
7746 с,   251811.38 м
7747 с,   251796.73 м
7748 с,   251782.06 м
7749 с,   251767.37 м
7750 с,   251752.67 м
7751 с,   251737.95 м
7752 с,   251723.21 м
7753 с,   251708.46 м
7754 с,   251693.69 м
7755 с,   251678.90 м
7756 с,   251664.10 м
7757 с,   251649.28 м
7758 с,   251634.44 м
7759 с,   251619.59 м
7760 с,   251604.72 м
7761 с,   251589.83 м
7762 с,   251574.93 м
7763 с,   251560.02 м
7764 с,   251545.08 м
7765 с,   251530.14 м
7766 с,   251515.18 м
7767 с,   251500.20 м
7768 с,   251485.21 м
7769 с,   251470.20 м
7770 с,   251455.18 м
